line 1 column 12758 - Warning: inserting implicit <p>
line 1 column 21712 - Warning: inserting implicit <p>
line 1 column 23927 - Warning: inserting implicit <p>
line 1 column 24689 - Warning: inserting implicit <p>
line 1 column 26621 - Warning: inserting implicit <p>
line 1 column 27342 - Warning: inserting implicit <p>
line 1 column 28643 - Warning: inserting implicit <p>
line 1 column 30836 - Warning: inserting implicit <p>
line 1 column 33386 - Warning: inserting implicit <p>
line 1 column 34171 - Warning: inserting implicit <p>
line 1 column 34777 - Warning: inserting implicit <p>
line 1 column 35868 - Warning: inserting implicit <p>
line 1 column 37899 - Warning: inserting implicit <p>
line 1 column 38703 - Warning: inserting implicit <p>
line 1 column 39811 - Warning: inserting implicit <p>
line 1 column 58247 - Warning: inserting implicit <p>
line 1 column 65897 - Warning: inserting implicit <p>
line 1 column 70686 - Warning: inserting implicit <p>
line 1 column 2059 - Warning: <a> anchor "foot-fn1" already defined
line 1 column 49549 - Warning: <tt> element removed from HTML5
line 1 column 49586 - Warning: <tt> element removed from HTML5
line 1 column 50281 - Warning: <tt> element removed from HTML5
line 1 column 50690 - Warning: <tt> element removed from HTML5
line 1 column 51115 - Warning: <tt> element removed from HTML5
line 1 column 51589 - Warning: <tt> element removed from HTML5
line 1 column 52079 - Warning: <tt> element removed from HTML5
line 1 column 52564 - Warning: <tt> element removed from HTML5
line 1 column 53047 - Warning: <tt> element removed from HTML5
line 1 column 53801 - Warning: <tt> element removed from HTML5
line 1 column 54473 - Warning: <tt> element removed from HTML5
line 1 column 54569 - Warning: <tt> element removed from HTML5
line 1 column 54666 - Warning: <tt> element removed from HTML5
line 1 column 54934 - Warning: <tt> element removed from HTML5
line 1 column 55071 - Warning: <tt> element removed from HTML5
line 1 column 55093 - Warning: <tt> element removed from HTML5
line 1 column 55615 - Warning: <tt> element removed from HTML5
line 1 column 55820 - Warning: <tt> element removed from HTML5
line 1 column 55877 - Warning: <tt> element removed from HTML5
line 1 column 55985 - Warning: <tt> element removed from HTML5
line 1 column 56091 - Warning: <tt> element removed from HTML5
line 1 column 56107 - Warning: <tt> element removed from HTML5
line 1 column 56133 - Warning: <tt> element removed from HTML5
line 1 column 56404 - Warning: <tt> element removed from HTML5
line 1 column 56997 - Warning: <tt> element removed from HTML5
line 1 column 57056 - Warning: <tt> element removed from HTML5
line 1 column 58487 - Warning: <tt> element removed from HTML5
line 1 column 58607 - Warning: <tt> element removed from HTML5
line 1 column 58911 - Warning: <tt> element removed from HTML5
line 1 column 58977 - Warning: <tt> element removed from HTML5
line 1 column 59203 - Warning: <tt> element removed from HTML5
line 1 column 59229 - Warning: <tt> element removed from HTML5
line 1 column 59317 - Warning: <tt> element removed from HTML5
line 1 column 59357 - Warning: <tt> element removed from HTML5
line 1 column 59376 - Warning: <tt> element removed from HTML5
line 1 column 59424 - Warning: <tt> element removed from HTML5
line 1 column 59790 - Warning: <tt> element removed from HTML5
line 1 column 59937 - Warning: <tt> element removed from HTML5
line 1 column 59961 - Warning: <tt> element removed from HTML5
line 1 column 59987 - Warning: <tt> element removed from HTML5
line 1 column 60016 - Warning: <tt> element removed from HTML5
line 1 column 60113 - Warning: <tt> element removed from HTML5
line 1 column 60310 - Warning: <tt> element removed from HTML5
line 1 column 60401 - Warning: <tt> element removed from HTML5
line 1 column 60563 - Warning: <tt> element removed from HTML5
line 1 column 60735 - Warning: <tt> element removed from HTML5
line 1 column 60770 - Warning: <tt> element removed from HTML5
line 1 column 60844 - Warning: <tt> element removed from HTML5
line 1 column 60947 - Warning: <tt> element removed from HTML5
line 1 column 61065 - Warning: <tt> element removed from HTML5
line 1 column 61781 - Warning: <tt> element removed from HTML5
line 1 column 62401 - Warning: <tt> element removed from HTML5
line 1 column 62772 - Warning: <tt> element removed from HTML5
line 1 column 62909 - Warning: <tt> element removed from HTML5
line 1 column 63144 - Warning: <tt> element removed from HTML5
line 1 column 63532 - Warning: <tt> element removed from HTML5
line 1 column 63596 - Warning: <tt> element removed from HTML5
line 1 column 63749 - Warning: <tt> element removed from HTML5
line 1 column 63962 - Warning: <tt> element removed from HTML5
line 1 column 64011 - Warning: <tt> element removed from HTML5
line 1 column 64757 - Warning: <tt> element removed from HTML5
line 1 column 65748 - Warning: <tt> element removed from HTML5
line 1 column 66531 - Warning: <tt> element removed from HTML5
line 1 column 66610 - Warning: <tt> element removed from HTML5
line 1 column 66680 - Warning: <tt> element removed from HTML5
line 1 column 66701 - Warning: <tt> element removed from HTML5
line 1 column 66930 - Warning: <tt> element removed from HTML5
line 1 column 67009 - Warning: <tt> element removed from HTML5
line 1 column 67570 - Warning: <tt> element removed from HTML5
line 1 column 67959 - Warning: <tt> element removed from HTML5
line 1 column 68340 - Warning: <tt> element removed from HTML5
line 1 column 68387 - Warning: <tt> element removed from HTML5
line 1 column 68402 - Warning: <tt> element removed from HTML5
line 1 column 68421 - Warning: <tt> element removed from HTML5
line 1 column 68439 - Warning: <tt> element removed from HTML5
line 1 column 68553 - Warning: <tt> element removed from HTML5
line 1 column 68567 - Warning: <tt> element removed from HTML5
line 1 column 68586 - Warning: <tt> element removed from HTML5
line 1 column 68715 - Warning: <tt> element removed from HTML5
line 1 column 68960 - Warning: <tt> element removed from HTML5
line 1 column 68991 - Warning: <tt> element removed from HTML5
line 1 column 69167 - Warning: <tt> element removed from HTML5
line 1 column 69258 - Warning: <tt> element removed from HTML5
line 1 column 69806 - Warning: <tt> element removed from HTML5
line 1 column 69946 - Warning: <tt> element removed from HTML5
line 1 column 70036 - Warning: <tt> element removed from HTML5
line 1 column 70604 - Warning: <tt> element removed from HTML5
line 1 column 70766 - Warning: <tt> element removed from HTML5
line 1 column 70925 - Warning: <tt> element removed from HTML5
line 1 column 71155 - Warning: <tt> element removed from HTML5
line 1 column 71256 - Warning: <tt> element removed from HTML5
line 1 column 71335 - Warning: <tt> element removed from HTML5
line 1 column 71368 - Warning: <tt> element removed from HTML5
line 1 column 71465 - Warning: <tt> element removed from HTML5
line 1 column 71589 - Warning: <tt> element removed from HTML5
line 1 column 71642 - Warning: <tt> element removed from HTML5
line 1 column 71982 - Warning: <tt> element removed from HTML5
line 1 column 72106 - Warning: <tt> element removed from HTML5
line 1 column 74951 - Warning: <tt> element removed from HTML5
line 1 column 75240 - Warning: <tt> element removed from HTML5
line 1 column 75593 - Warning: <tt> element removed from HTML5
line 1 column 75773 - Warning: <tt> element removed from HTML5
line 1 column 76074 - Warning: <tt> element removed from HTML5
line 1 column 76373 - Warning: <tt> element removed from HTML5
line 1 column 76740 - Warning: <tt> element removed from HTML5
line 1 column 76914 - Warning: <tt> element removed from HTML5
line 1 column 77083 - Warning: <tt> element removed from HTML5
line 1 column 77204 - Warning: <tt> element removed from HTML5
line 1 column 77612 - Warning: <tt> element removed from HTML5
line 1 column 77877 - Warning: <tt> element removed from HTML5
line 1 column 78972 - Warning: <li> proprietary attribute "label"
line 1 column 79157 - Warning: <li> proprietary attribute "label"
line 1 column 79384 - Warning: <li> proprietary attribute "label"
line 1 column 79631 - Warning: <li> proprietary attribute "label"
line 1 column 79901 - Warning: <li> proprietary attribute "label"
line 1 column 80074 - Warning: <li> proprietary attribute "label"
line 1 column 80378 - Warning: <li> proprietary attribute "label"
line 1 column 80611 - Warning: <li> proprietary attribute "label"
line 1 column 80862 - Warning: <li> proprietary attribute "label"
line 1 column 81073 - Warning: <li> proprietary attribute "label"
line 1 column 81316 - Warning: <li> proprietary attribute "label"
line 1 column 81560 - Warning: <li> proprietary attribute "label"
line 1 column 81821 - Warning: <li> proprietary attribute "label"
line 1 column 82040 - Warning: <li> proprietary attribute "label"
line 1 column 82255 - Warning: <li> proprietary attribute "label"
line 1 column 82461 - Warning: <li> proprietary attribute "label"
line 1 column 82650 - Warning: <li> proprietary attribute "label"
line 1 column 82861 - Warning: <li> proprietary attribute "label"
line 1 column 83045 - Warning: <li> proprietary attribute "label"
line 1 column 83284 - Warning: <li> proprietary attribute "label"
line 1 column 83524 - Warning: <li> proprietary attribute "label"
line 1 column 83772 - Warning: <li> proprietary attribute "label"
line 1 column 83973 - Warning: <li> proprietary attribute "label"
line 1 column 84210 - Warning: <li> proprietary attribute "label"
line 1 column 84373 - Warning: <li> proprietary attribute "label"
line 1 column 84658 - Warning: <li> proprietary attribute "label"
line 1 column 84851 - Warning: <li> proprietary attribute "label"
line 1 column 85061 - Warning: <li> proprietary attribute "label"
line 1 column 85290 - Warning: <li> proprietary attribute "label"
line 1 column 85501 - Warning: <li> proprietary attribute "label"
