line 1 column 19609 - Warning: inserting implicit <p>
line 1 column 45674 - Warning: inserting implicit <p>
line 1 column 50246 - Warning: inserting implicit <p>
line 1 column 77029 - Warning: nested emphasis <em>
line 1 column 77222 - Warning: nested emphasis <em>
line 1 column 77422 - Warning: nested emphasis <em>
line 1 column 77624 - Warning: nested emphasis <em>
line 1 column 77842 - Warning: nested emphasis <em>
line 1 column 78056 - Warning: nested emphasis <em>
line 1 column 78253 - Warning: nested emphasis <em>
line 1 column 78443 - Warning: nested emphasis <em>
line 1 column 78631 - Warning: nested emphasis <em>
line 1 column 78852 - Warning: nested emphasis <em>
line 1 column 79090 - Warning: nested emphasis <em>
line 1 column 79315 - Warning: nested emphasis <em>
line 1 column 79499 - Warning: nested emphasis <em>
line 1 column 79684 - Warning: nested emphasis <em>
line 1 column 80202 - Warning: nested emphasis <em>
line 1 column 81106 - Warning: nested emphasis <em>
line 1 column 81309 - Warning: nested emphasis <em>
line 1 column 81542 - Warning: nested emphasis <em>
line 1 column 81750 - Warning: nested emphasis <em>
line 1 column 81952 - Warning: nested emphasis <em>
line 1 column 82204 - Warning: nested emphasis <em>
line 1 column 82396 - Warning: nested emphasis <em>
line 1 column 82597 - Warning: nested emphasis <em>
line 1 column 82832 - Warning: nested emphasis <em>
line 1 column 9625 - Warning: <table> lacks "summary" attribute
line 1 column 12962 - Warning: <table> lacks "summary" attribute
line 1 column 35959 - Warning: <tt> element removed from HTML5
line 1 column 35982 - Warning: <tt> element removed from HTML5
line 1 column 36169 - Warning: <tt> element removed from HTML5
line 1 column 36186 - Warning: <tt> element removed from HTML5
line 1 column 36210 - Warning: <tt> element removed from HTML5
line 1 column 36729 - Warning: <tt> element removed from HTML5
line 1 column 37199 - Warning: <tt> element removed from HTML5
line 1 column 37244 - Warning: <tt> element removed from HTML5
line 1 column 39342 - Warning: <tt> element removed from HTML5
line 1 column 40875 - Warning: <tt> element removed from HTML5
line 1 column 40907 - Warning: <tt> element removed from HTML5
line 1 column 40962 - Warning: <tt> element removed from HTML5
line 1 column 41259 - Warning: <tt> element removed from HTML5
line 1 column 41305 - Warning: <tt> element removed from HTML5
line 1 column 41353 - Warning: <tt> element removed from HTML5
line 1 column 41382 - Warning: <tt> element removed from HTML5
line 1 column 41432 - Warning: <tt> element removed from HTML5
line 1 column 41463 - Warning: <tt> element removed from HTML5
line 1 column 41485 - Warning: <tt> element removed from HTML5
line 1 column 41553 - Warning: <tt> element removed from HTML5
line 1 column 41591 - Warning: <tt> element removed from HTML5
line 1 column 41649 - Warning: <tt> element removed from HTML5
line 1 column 42192 - Warning: <tt> element removed from HTML5
line 1 column 42217 - Warning: <tt> element removed from HTML5
line 1 column 42295 - Warning: <tt> element removed from HTML5
line 1 column 42371 - Warning: <tt> element removed from HTML5
line 1 column 42742 - Warning: <tt> element removed from HTML5
line 1 column 42832 - Warning: <tt> element removed from HTML5
line 1 column 42935 - Warning: <tt> element removed from HTML5
line 1 column 42955 - Warning: <tt> element removed from HTML5
line 1 column 43017 - Warning: <tt> element removed from HTML5
line 1 column 43198 - Warning: <tt> element removed from HTML5
line 1 column 43603 - Warning: <tt> element removed from HTML5
line 1 column 43627 - Warning: <tt> element removed from HTML5
line 1 column 43666 - Warning: <tt> element removed from HTML5
line 1 column 43690 - Warning: <tt> element removed from HTML5
line 1 column 43729 - Warning: <tt> element removed from HTML5
line 1 column 43864 - Warning: <tt> element removed from HTML5
line 1 column 43934 - Warning: <tt> element removed from HTML5
line 1 column 44056 - Warning: <tt> element removed from HTML5
line 1 column 44095 - Warning: <tt> element removed from HTML5
line 1 column 45386 - Warning: <tt> element removed from HTML5
line 1 column 45410 - Warning: <tt> element removed from HTML5
line 1 column 51963 - Warning: <tt> element removed from HTML5
line 1 column 65666 - Warning: <tt> element removed from HTML5
line 1 column 65745 - Warning: <tt> element removed from HTML5
line 1 column 65804 - Warning: <tt> element removed from HTML5
line 1 column 69930 - Warning: <tt> element removed from HTML5
line 1 column 69953 - Warning: <tt> element removed from HTML5
line 1 column 14994 - Warning: <li> proprietary attribute "label"
line 1 column 15361 - Warning: <li> proprietary attribute "label"
line 1 column 27868 - Warning: <li> proprietary attribute "label"
line 1 column 28232 - Warning: <li> proprietary attribute "label"
line 1 column 28476 - Warning: <li> proprietary attribute "label"
line 1 column 28907 - Warning: <li> proprietary attribute "label"
line 1 column 76902 - Warning: <li> proprietary attribute "label"
line 1 column 77110 - Warning: <li> proprietary attribute "label"
line 1 column 77292 - Warning: <li> proprietary attribute "label"
line 1 column 77491 - Warning: <li> proprietary attribute "label"
line 1 column 77703 - Warning: <li> proprietary attribute "label"
line 1 column 77908 - Warning: <li> proprietary attribute "label"
line 1 column 78126 - Warning: <li> proprietary attribute "label"
line 1 column 78319 - Warning: <li> proprietary attribute "label"
line 1 column 78509 - Warning: <li> proprietary attribute "label"
line 1 column 78700 - Warning: <li> proprietary attribute "label"
line 1 column 78941 - Warning: <li> proprietary attribute "label"
line 1 column 79169 - Warning: <li> proprietary attribute "label"
line 1 column 79381 - Warning: <li> proprietary attribute "label"
line 1 column 79569 - Warning: <li> proprietary attribute "label"
line 1 column 79758 - Warning: <li> proprietary attribute "label"
line 1 column 80068 - Warning: <li> proprietary attribute "label"
line 1 column 80277 - Warning: <li> proprietary attribute "label"
line 1 column 80597 - Warning: <li> proprietary attribute "label"
line 1 column 80974 - Warning: <li> proprietary attribute "label"
line 1 column 81174 - Warning: <li> proprietary attribute "label"
line 1 column 81400 - Warning: <li> proprietary attribute "label"
line 1 column 81609 - Warning: <li> proprietary attribute "label"
line 1 column 81816 - Warning: <li> proprietary attribute "label"
line 1 column 82027 - Warning: <li> proprietary attribute "label"
line 1 column 82280 - Warning: <li> proprietary attribute "label"
line 1 column 82465 - Warning: <li> proprietary attribute "label"
line 1 column 82665 - Warning: <li> proprietary attribute "label"
