line 1 column 21450 - Warning: inserting implicit <p>
line 1 column 24563 - Warning: inserting implicit <p>
line 1 column 26122 - Warning: inserting implicit <p>
line 1 column 28600 - Warning: inserting implicit <p>
line 1 column 38161 - Error: <appendix> is not recognized!
line 1 column 38161 - Warning: discarding unexpected <appendix>
line 1 column 38944 - Warning: discarding unexpected </appendix>
line 1 column 39294 - Warning: nested emphasis <em>
line 1 column 39595 - Warning: nested emphasis <em>
line 1 column 39920 - Warning: nested emphasis <em>
line 1 column 40200 - Warning: nested emphasis <em>
line 1 column 40473 - Warning: nested emphasis <em>
line 1 column 40929 - Warning: nested emphasis <em>
line 1 column 41267 - Warning: nested emphasis <em>
line 1 column 41517 - Warning: nested emphasis <em>
line 1 column 42135 - Warning: nested emphasis <em>
line 1 column 42384 - Warning: nested emphasis <em>
line 1 column 15293 - Warning: <table> lacks "summary" attribute
line 1 column 19978 - Warning: <font> element removed from HTML5
line 1 column 21661 - Warning: <font> element removed from HTML5
line 1 column 21821 - Warning: <font> element removed from HTML5
line 1 column 21963 - Warning: <font> element removed from HTML5
line 1 column 22026 - Warning: <tt> element removed from HTML5
line 1 column 22428 - Warning: <font> element removed from HTML5
line 1 column 22515 - Warning: <font> element removed from HTML5
line 1 column 22596 - Warning: <font> element removed from HTML5
line 1 column 22679 - Warning: <font> element removed from HTML5
line 1 column 22770 - Warning: <font> element removed from HTML5
line 1 column 22856 - Warning: <font> element removed from HTML5
line 1 column 22937 - Warning: <font> element removed from HTML5
line 1 column 23006 - Warning: <font> element removed from HTML5
line 1 column 23098 - Warning: <font> element removed from HTML5
line 1 column 23469 - Warning: <font> element removed from HTML5
line 1 column 23562 - Warning: <font> element removed from HTML5
line 1 column 23785 - Warning: <font> element removed from HTML5
line 1 column 24737 - Warning: <font> element removed from HTML5
line 1 column 24866 - Warning: <font> element removed from HTML5
line 1 column 24983 - Warning: <font> element removed from HTML5
line 1 column 25048 - Warning: <font> element removed from HTML5
line 1 column 26739 - Warning: <font> element removed from HTML5
line 1 column 26995 - Warning: <tt> element removed from HTML5
line 1 column 27024 - Warning: <tt> element removed from HTML5
line 1 column 27064 - Warning: <tt> element removed from HTML5
line 1 column 27299 - Warning: <tt> element removed from HTML5
line 1 column 28817 - Warning: <font> element removed from HTML5
line 1 column 28963 - Warning: <font> element removed from HTML5
line 1 column 29114 - Warning: <font> element removed from HTML5
line 1 column 29526 - Warning: <font> element removed from HTML5
line 1 column 29777 - Warning: <font> element removed from HTML5
line 1 column 30101 - Warning: <font> element removed from HTML5
line 1 column 31479 - Warning: <font> element removed from HTML5
line 1 column 32477 - Warning: <tt> element removed from HTML5
line 1 column 32521 - Warning: <tt> element removed from HTML5
line 1 column 32550 - Warning: <tt> element removed from HTML5
line 1 column 32581 - Warning: <tt> element removed from HTML5
line 1 column 33395 - Warning: <tt> element removed from HTML5
line 1 column 33417 - Warning: <tt> element removed from HTML5
line 1 column 33638 - Warning: <tt> element removed from HTML5
line 1 column 33660 - Warning: <tt> element removed from HTML5
line 1 column 34541 - Warning: <font> element removed from HTML5
line 1 column 34829 - Warning: <font> element removed from HTML5
line 1 column 35102 - Warning: <font> element removed from HTML5
line 1 column 35261 - Warning: <font> element removed from HTML5
line 1 column 35427 - Warning: <font> element removed from HTML5
line 1 column 35680 - Warning: <font> element removed from HTML5
line 1 column 36382 - Warning: <font> element removed from HTML5
line 1 column 36596 - Warning: <font> element removed from HTML5
line 1 column 36833 - Warning: <font> element removed from HTML5
line 1 column 37006 - Warning: <font> element removed from HTML5
line 1 column 37118 - Warning: <font> element removed from HTML5
line 1 column 37251 - Warning: <font> element removed from HTML5
line 1 column 37367 - Warning: <font> element removed from HTML5
line 1 column 37515 - Warning: <font> element removed from HTML5
line 1 column 37599 - Warning: <font> element removed from HTML5
line 1 column 43333 - Warning: <font> element removed from HTML5
line 1 column 43618 - Warning: <font> element removed from HTML5
line 1 column 43851 - Warning: <font> element removed from HTML5
line 1 column 29718 - Warning: <li> proprietary attribute "label"
line 1 column 31086 - Warning: <li> proprietary attribute "label"
line 1 column 31968 - Warning: <li> proprietary attribute "label"
line 1 column 33288 - Warning: <li> proprietary attribute "label"
line 1 column 33944 - Warning: <li> proprietary attribute "label"
line 1 column 34483 - Warning: <li> proprietary attribute "label"
line 1 column 35186 - Warning: <li> proprietary attribute "label"
line 1 column 39120 - Warning: <li> proprietary attribute "label"
line 1 column 39395 - Warning: <li> proprietary attribute "label"
line 1 column 39696 - Warning: <li> proprietary attribute "label"
line 1 column 40020 - Warning: <li> proprietary attribute "label"
line 1 column 40301 - Warning: <li> proprietary attribute "label"
line 1 column 40608 - Warning: <li> proprietary attribute "label"
line 1 column 41008 - Warning: <li> proprietary attribute "label"
line 1 column 41370 - Warning: <li> proprietary attribute "label"
line 1 column 41739 - Warning: <li> proprietary attribute "label"
line 1 column 41925 - Warning: <li> proprietary attribute "label"
line 1 column 42238 - Warning: <li> proprietary attribute "label"
This document has errors that must be fixed before
using HTML Tidy to generate a tidied up version.

tidy failed, copying HTML as-is
